"keyPhotoID","OutcropPhoto","Photomicrograph","CLImage","OtherImage","TSOverview","OtherDocument","WayptIDKey","MacrostructureID","SampleIDKey","TSDescID","PhotoLinkRelative2"
1521,0,0,0,0,1,0,741,267,282,0,"\Photos\USTProject\2017SpringFieldPhotos\NEWThickAndThinSections\17_wb_4a_thick.jpg"
1522,0,0,0,0,1,0,741,267,282,0,"\Photos\USTProject\2017SpringFieldPhotos\NEWThickAndThinSections\17_WB_4A_Thin.jpg"
1523,0,0,0,0,1,0,741,267,282,0,"\Photos\USTProject\2017SpringFieldPhotos\NEWCLImaging2017Samples\17_WB_4B_NoCL.JPG"
1524,0,0,0,0,1,0,741,267,282,0,"\Photos\USTProject\2017SpringFieldPhotos\NEWThickAndThinSections\17_wb_4b_thick.jpg"
1525,0,0,0,0,1,0,741,267,282,0,"\Photos\USTProject\2017SpringFieldPhotos\NEWThickAndThinSections\17_WB_4B_Thin.jpg"
1526,0,0,1,0,0,0,741,267,282,0,"\Photos\USTProject\2017SpringFieldPhotos\NEWCLImaging2017Samples\17_WB_4BCL.JPG"
1527,0,0,0,0,1,0,741,267,282,0,"\Photos\USTProject\2017SpringFieldPhotos\NEWCLImaging2017Samples\17_WB_4BNoCL.JPG"
1528,0,0,0,0,1,0,746,268,282,0,"\Photos\USTProject\2017SpringFieldPhotos\NEWThickAndThinSections\17_wb_5a_thick.jpg"
1529,0,0,0,0,1,0,746,268,282,0,"\Photos\USTProject\2017SpringFieldPhotos\NEWThickAndThinSections\17_WB_5A_thin.jpg"
1530,0,0,0,0,1,0,746,268,282,0,"\Photos\USTProject\2017SpringFieldPhotos\NEWThickAndThinSections\17_wb_5b_thick.jpg"
1531,0,0,0,0,1,0,746,268,282,0,"\Photos\USTProject\2017SpringFieldPhotos\NEWThickAndThinSections\17_WB_5B_Thin.jpg"
1532,0,0,0,0,1,0,746,268,282,0,"\Photos\USTProject\2017SpringFieldPhotos\NEWThickAndThinSections\17_wb_5c_thick.jpg"
1533,0,0,0,0,1,0,746,268,282,0,"\Photos\USTProject\2017SpringFieldPhotos\NEWThickAndThinSections\17_WB_5c_Thin.jpg"
1534,0,0,0,0,1,0,746,268,282,0,"\Photos\USTProject\2017SpringFieldPhotos\NEWThickAndThinSections\17_wb_5d_thick.jpg"
1535,0,0,0,0,1,0,746,268,282,0,"\Photos\USTProject\2017SpringFieldPhotos\NEWThickAndThinSections\17_WB_5D_Thin.jpg"
1536,0,0,0,0,1,0,746,268,282,0,"\Photos\USTProject\2017SpringFieldPhotos\NEWThickAndThinSections\17_wb_5e_thick.jpg"
1537,0,0,0,0,1,0,746,268,282,0,"\Photos\USTProject\2017SpringFieldPhotos\NEWThickAndThinSections\17_WB_5E_Thin.jpg"
1538,0,0,1,0,0,0,756,270,282,0,"\Photos\USTProject\2017SpringFieldPhotos\NEWCLImaging2017Samples\17_WB_7A_CL.JPG"
1539,0,0,0,0,1,0,756,270,282,0,"\Photos\USTProject\2017SpringFieldPhotos\NEWCLImaging2017Samples\17_WB_7A_NoCL.JPG"
1540,0,0,0,0,1,0,756,270,282,0,"\Photos\USTProject\2017SpringFieldPhotos\NEWThickAndThinSections\17_wb_7a_thick.jpg"
1541,0,0,0,0,1,0,756,270,282,0,"\Photos\USTProject\2017SpringFieldPhotos\NEWThickAndThinSections\17_WB_7A_Thin.jpg"
1542,0,0,0,0,1,0,756,270,282,0,"\Photos\USTProject\2017SpringFieldPhotos\NEWThickAndThinSections\17_wb_7a2_thick.jpg"
1543,0,0,0,0,1,0,756,270,282,0,"\Photos\USTProject\2017SpringFieldPhotos\NEWThickAndThinSections\17_WB_7A2_Thin.jpg"
1544,0,0,0,0,1,0,756,270,282,0,"\Photos\USTProject\2017SpringFieldPhotos\NEWThickAndThinSections\17_wb_7b_thick.jpg"
1545,0,0,0,0,1,0,756,270,282,0,"\Photos\USTProject\2017SpringFieldPhotos\NEWThickAndThinSections\17_WB_7b_Thin.jpg"
1546,0,0,1,0,0,0,756,270,282,0,"\Photos\USTProject\2017SpringFieldPhotos\NEWCLImaging2017Samples\17_WB_7C_CL_1.JPG"
1547,0,0,1,0,0,0,756,270,282,0,"\Photos\USTProject\2017SpringFieldPhotos\NEWCLImaging2017Samples\17_WB_7C_CL_2.JPG"
1548,0,0,1,0,0,0,756,270,282,0,"\Photos\USTProject\2017SpringFieldPhotos\NEWCLImaging2017Samples\17_WB_7C_CL_3.JPG"
1549,0,0,0,0,1,0,756,270,282,0,"\Photos\USTProject\2017SpringFieldPhotos\NEWCLImaging2017Samples\17_WB_7C_NoCL.JPG"
1550,0,0,0,0,1,0,756,270,282,0,"\Photos\USTProject\2017SpringFieldPhotos\NEWThickAndThinSections\17_wb_7c_thick.jpg"
